,u
0,0.0548813503927324
1,0.0715189366372419
2,0.0602763376071643
3,0.0544883182996896
4,0.0423654799338904
5,0.0645894113066656
6,0.0437587211262692
7,0.0891773000782079
8,0.0963662760501029
9,0.0383441518825777
10,0.0791725038082664
11,0.0528894919752904
12,0.0568044561093932
13,0.0925596638292661
14,0.0071036058197886
15,0.008712929970154
16,0.0020218397440325
17,0.0832619845547938
18,0.077815675094985
19,0.0870012148246819
20,0.0978618342232764
21,0.0799158564216723
22,0.0461479362252931
23,0.0780529176286455
24,0.0118274425868933
25,0.0639921021327523
26,0.0143353287409046
27,0.0944668917049584
28,0.0521848321750071
29,0.0414661939990523
30,0.0264555612104627
31,0.0774233689434216
32,0.0456150332216548
33,0.0568433948868648
34,0.0018789800436355
35,0.0617635497075877
36,0.0612095722722421
37,0.0616933996874757
38,0.0943748078514624
39,0.0681820299103483
40,0.0359507900573786
41,0.0437031953799341
42,0.0697631195927264
43,0.0060225471629269
44,0.0666766715445667
45,0.0670637869618159
46,0.021038256107384
47,0.0128926297654853
48,0.0315428350924183
49,0.0363710770942622
50,0.0570196770417879
51,0.043860151346232
52,0.0988373838059226
53,0.0102044810748028
54,0.0208876756094834
55,0.0161309517884996
56,0.0653108325465398
57,0.0253291602539782
58,0.0466310772856306
59,0.0244425592001602
60,0.0158969583645519
61,0.0110375141164305
62,0.0656329589465273
63,0.0138182951348613
64,0.0196582361680053
65,0.0368725170660964
66,0.0820993229847935
67,0.0097101275793061
68,0.0837944907498804
69,0.0096098407893963
70,0.0976459465013395
71,0.0468651201647701
72,0.0976761088190337
73,0.0604845519745046
74,0.0739263579398301
75,0.003918779225432
76,0.0282806962576409
77,0.0120196561213168
78,0.0296140197522144
79,0.0118727718954244
80,0.0317983179393976
81,0.041426299451467
82,0.0064147496348784
83,0.0692472119370019
84,0.0566601454206575
85,0.0265389490939445
86,0.0523248053466699
87,0.0093940510758441
88,0.0575946495556179
89,0.0929296197576214
90,0.0318568952451323
91,0.0667410379963681
92,0.0131797862404392
93,0.0716327204118565
94,0.0289406092947201
95,0.0183191362007116
96,0.0586512934810083
97,0.0020107546187493
98,0.0828940029217363
99,0.0004695476192547
100,0.067781653679623
101,0.0270007973192164
102,0.0735194022122594
103,0.0962188545117438
104,0.0248753143519958
105,0.0576157334417836
106,0.0592041931271839
107,0.0572251905790873
108,0.0223081632640618
109,0.0952749011516985
110,0.0447125378617627
111,0.0846408672471127
112,0.0699479275317504
113,0.0297436950855133
114,0.0813797819702477
115,0.0396505740846984
116,0.0881103197111161
117,0.0581272872635858
118,0.0881735361854852
119,0.0692531590077766
120,0.072525427981964
121,0.0501324381926702
122,0.0956083634723223
123,0.0643990199229637
124,0.0423855048558179
125,0.0606393214127924
126,0.0019193198309333
127,0.0301574816674549
128,0.0660173537492685
129,0.0290077607210444
130,0.0618015428998841
131,0.0428768700945766
132,0.013547406422245
133,0.029828232595603
134,0.0569964910701264
135,0.0590872761248173
136,0.0574325248849578
137,0.0653200819857133
138,0.0652103270001688
139,0.0431418435433973
140,0.0896546595851063
141,0.0367561870047896
142,0.0435864925265626
143,0.0891923355015672
144,0.0806193989046085
145,0.0703888583540366
146,0.0100226887312301
147,0.0919482613744673
148,0.0714241299549111
149,0.0998847006567866
150,0.0149448304657993
151,0.0868126057368214
152,0.0162492934676374
153,0.0615559564283844
154,0.0123819982849441
155,0.0848008229322234
156,0.080731895872501
157,0.0569100738614593
158,0.0407183297225999
159,0.0069166995455138
160,0.0697428773144563
161,0.0453542682678068
162,0.0722055599470348
163,0.0866382325928629
164,0.0975521505002885
165,0.0855803342392611
166,0.0011714084185001
167,0.0359978064478363
168,0.0729990562424058
169,0.017162967726144
170,0.0521036606204129
171,0.0054337988339253
172,0.01999965248964
173,0.0018521794460613
174,0.079369770335742
175,0.022392468806038
176,0.0345351680696902
177,0.092808129346559
178,0.0704414401923532
179,0.0031838929531307
180,0.0164694156497912
181,0.0621478401499763
182,0.0577228588604167
183,0.0237892821374508
184,0.0934213997924793
185,0.0613965955965896
186,0.0535632803024958
187,0.0589909976354571
188,0.0730122029516769
189,0.0311944995479601
190,0.0398221062216091
191,0.0209843748975122
192,0.0186193005880336
193,0.0944372389983933
194,0.0739550795049287
195,0.0490458808617567
196,0.0227414627973323
197,0.0254356481770392
198,0.0058029160323875
199,0.043441662555812
200,0.0311795881994102
201,0.0696343488815459
202,0.037775183929248
203,0.0179603677559634
204,0.0024678728391331
205,0.0067249631463248
206,0.0679392773498567
207,0.0453696844556045
208,0.0536579211108722
209,0.0896671293040342
210,0.0990338947396704
211,0.0216896984398473
212,0.06630782031001
213,0.026332237673715
214,0.0020650999465728
215,0.0758378653836141
216,0.0320017150822467
217,0.0383463894171898
218,0.0588317113553605
219,0.083104845523619
220,0.0628981843591148
221,0.0872650655447395
222,0.0273542034815635
223,0.0798046833912563
224,0.0185635944305952
225,0.0952791656971944
226,0.0687488276387815
227,0.0215507677113558
228,0.0947370590488924
229,0.0730855806770157
230,0.0253941642595025
231,0.0213311977367482
232,0.0518200713930663
233,0.0025662718054531
234,0.0207470075441109
235,0.0424685468751506
236,0.0374169980334225
237,0.046357542436481
238,0.0277628706294731
239,0.0586784346458168
240,0.0863855605923231
241,0.0117531855962033
242,0.0517379107154114
243,0.0132068106345153
244,0.0716859681192593
245,0.0396059702807293
246,0.0565421311858509
247,0.0183279836214078
248,0.0144847759343377
249,0.0488056280648954
250,0.0355612737849955
251,0.0940431945252813
252,0.0765325253806965
253,0.0748663619850547
254,0.0903719739745933
255,0.0083422435442018
256,0.0552192469922406
257,0.0584476068955768
258,0.0961936378547229
259,0.0292147526792548
260,0.0240828779915446
261,0.0100293942265497
262,0.0016429629591474
263,0.092952931679219
264,0.066991654659091
265,0.0785152912023137
266,0.0281730105753949
267,0.0586410166186326
268,0.0063955266120981
269,0.0485627595934622
270,0.0977495139744446
271,0.087650524531659
272,0.0338158951836845
273,0.0961570154541498
274,0.0231701626471204
275,0.0949318822415681
276,0.0941377704706498
277,0.0799202587352391
278,0.0630447936866791
279,0.0874287966624947
280,0.0293020284507796
281,0.0848943555312918
282,0.0617876691917523
283,0.0013236857758899
284,0.0347233517932219
285,0.0148140860948165
286,0.0981829389818253
287,0.0478370307039988
288,0.0497391365498662
289,0.0639472516398723
290,0.0368584606129617
291,0.0136900271685598
292,0.0822117733194245
293,0.0189847911902757
294,0.0511318982546456
295,0.0224317028974739
296,0.0097844484494034
297,0.0862191517421683
298,0.097291948902313
299,0.0960834658063
300,0.0906555499221179
301,0.0774047332698638
302,0.0333145152028641
303,0.0081101389987996
304,0.0407241171413807
305,0.0232234142170942
306,0.0132487634757982
307,0.0053427181786825
308,0.0725594364210578
309,0.0011427458625031
310,0.0770580748502776
311,0.0146946645400375
312,0.0079522082586755
313,0.0089603034238605
314,0.0672047807353914
315,0.0245367209852844
316,0.0420539466680098
317,0.0557368791323917
318,0.0860551173828793
319,0.0727044262711328
320,0.0270327905238714
321,0.0131482799291127
322,0.0055374320421197
323,0.0301598634480942
324,0.0262118149239678
325,0.0456140566800479
326,0.068328133554768
327,0.0695625445638857
328,0.0283518846582166
329,0.037992695590012
330,0.0181150961736903
331,0.0788545512306518
332,0.005684807643324
333,0.0696997241724987
334,0.0778695395941103
335,0.0777407561848753
336,0.0259422564345354
337,0.0373813137932561
338,0.0587599635196389
339,0.0272821902424467
340,0.0370852799217888
341,0.0197054280185639
342,0.0459855883756007
343,0.0044612301254114
344,0.0799795884570618
345,0.0076956446986632
346,0.0518835148831526
347,0.0306810099545196
348,0.0577542948831375
349,0.0959433340833425
350,0.0645570244456004
351,0.003536243575549
352,0.0430402439508061
353,0.051001685231825
354,0.0536177494703452
355,0.0681392510603838
356,0.0277596097731766
357,0.012886056546632
358,0.0392675676547094
359,0.0956405722795948
360,0.0187130891750844
361,0.0903983954928237
362,0.0543805950077326
363,0.0456911421645765
364,0.0882041410229889
365,0.0458603961768585
366,0.0724167636611543
367,0.0399025321703102
368,0.0904044392900957
369,0.0690025020191227
370,0.0699622054250516
371,0.0327720401557118
372,0.0756778642736889
373,0.0636061055447141
374,0.0240020273379709
375,0.0160538822485256
376,0.0796391474517331
377,0.0959166603035222
378,0.0458138827260042
379,0.0590984165323685
380,0.0857722644193554
381,0.0457223453353857
382,0.0951874476832736
