,y_data
0,0.0
1,0.0123180927043934
2,0.0464474860972466
3,0.0866698022403527
4,0.1098735303343428
5,0.1016925374043246
6,0.0705880287606731
7,0.0333614368871691
8,0.0132290946273899
9,0.0297152004633195
10,0.0616013298557531
11,0.0897218118084513
12,0.103935789693829
13,0.0932516437293325
14,0.0734354676312062
15,0.0433838731820925
16,-0.0006823157209783
17,-0.0392240901908893
18,-0.0386064628900732
19,0.0149534629005222
20,0.0948858155622493
21,0.1661845510822405
22,0.1891651992104331
23,0.1417685121487036
24,0.0559157250061163
25,-0.030214984033732
26,-0.0802119782154715
27,-0.073173693111583
28,-0.0090209335051537
29,0.0874366452158249
30,0.1575915082609222
31,0.1607094890239907
32,0.1074579412152904
33,0.0342777054601268
34,-0.0268915534089821
35,-0.0591854474542662
36,-0.0484677714803789
37,0.0105996731174707
38,0.0883251206239992
39,0.1546104729026572
40,0.176444814055735
41,0.1311933734037996
42,0.0433848002629625
43,-0.033289385970041
44,-0.073405042802655
45,-0.0613377570996905
46,0.0073332715328447
47,0.0876639109848913
48,0.129756900850623
49,0.1173160603572384
50,0.0654843429177177
51,0.0079257399196926
52,-0.0270964051679514
53,-0.0159805060969328
54,0.0255015992360528
55,0.0598300037032912
56,0.0731324826460831
57,0.0705388264918454
58,0.0561170187776328
59,0.0333688895322073
60,0.0129071161927858
61,-0.0030360477859351
62,-0.0106324965091278
63,0.0041376301328004
64,0.0336105204692383
65,0.0536018929536219
66,0.0607823534250106
67,0.0665689859139641
68,0.0620344510043799
69,0.0507057462026773
70,0.0378747221305909
71,0.0329624452211361
72,0.0455932990856621
73,0.0691485632057631
74,0.0947359874528251
75,0.1047456577345622
76,0.0825037784372352
77,0.031097853605757
78,-0.0220313278183007
79,-0.052597783464397
80,-0.0484081219967426
81,-0.0130434004901239
82,0.0421176580674546
83,0.0852688789486217
84,0.1034489795861694
85,0.1002497411232022
86,0.0691739324585732
87,0.0262069881657982
88,-0.0121032471646299
89,-0.0275592737505083
90,0.0037449860158598
91,0.0588756837233135
92,0.1056893581779013
93,0.1177691783237252
94,0.092618184489578
95,0.0485287946358431
